task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,text_instructions.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,distractor_T0,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,distractor_T1,text_distr_T1.started,text_distr_T1.stopped,text_blank_distractors_T1.started,text_blank_distractors_T1.stopped,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,distractor_T2,text_distr_T2.started,text_distr_T2.stopped,text_blank_distractors_T2.started,text_blank_distractors_T2.stopped,key_resp_T1.keys,key_resp_T1.corr,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),language,date,expName,psychopyVersion,frameRate,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,KGNBDTX,22.863455200000317,22.896702600000026,22.896702600000026,22.94672200000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,YMVPDZQ,22.94672200000059,22.980140000000574,22.980140000000574,23.030058700000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,4,0,4,0,,,,,,,,,,,,,,,,,,WBFKDNX,23.030058700000154,23.063583800000742,23.063583800000742,23.113484400000743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,5,0,5,0,,,,,,,,,,,,,,,,,,ZRKXHVD,23.113484400000743,23.14675310000075,23.14675310000075,23.196721199999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,23.196721199999956,23.230191700000432,23.230191700000432,23.279996900000697,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,23.279996900000697,23.31343090000064,23.31343090000064,23.3633976000001,PLKBSFM,23.3633976000001,23.396740400000454,23.396740400000454,23.446842800000013,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,YJXNMHF,23.446842800000013,23.480057100000522,23.480057100000522,23.53007880000041,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,QHPWTZN,23.53007880000041,23.563424100000702,23.563424100000702,23.613336899999922,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDZGQSM,23.613336899999922,23.646711700000196,23.646711700000196,23.696765000000596,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVZMNYR,23.696765000000596,23.730042400000457,23.730042400000457,23.7801915,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,YTQNBJW,23.7801915,23.813475599999947,23.813475599999947,23.863474700000552,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GZTPXBD,23.863474700000552,23.896687100000236,23.896687100000236,23.9468267000002,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHYQSXV,23.9468267000002,23.980175900000177,23.980175900000177,24.030160900000737,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BTFPMXN,24.030160900000737,24.063448300000346,24.063448300000346,24.113530999999966,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLQYVRD,24.113530999999966,24.146785500000078,24.146785500000078,24.19677330000013,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLRZMTJ,24.19677330000013,24.23024330000044,24.23024330000044,24.280117100000098,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,HYVGQCB,24.280117100000098,24.313651899999968,24.313651899999968,24.363361800000348,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
