task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,dist,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,settings.started,settings.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors_T0_T2.started,text_distractors_2.started,distractors_T0_T2.stopped,T1_number.started,text_T1.started,T1_number.stopped,distractors_T1.started,text_distractors.started,distractors_T1.stopped,T2_probe.started,text_T2.started,T2_probe.stopped,Ask_T1.started,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],date,expName,psychopyVersion,frameRate,expStart,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,GQKRPDL,0,0,0,0,0,1,1,1,,,,,,,,,0,2,2,5,78.39451729995199,,,,,,,,,,,,,,,,,78.37820279994048,78.39451729995199,78.46127739991061,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZTFYDXH,0,0,0,0,0,1,1,1,,,,,,,,,0,3,3,0,78.47790589998476,,,,,,,,,,,,,,,,,78.46151449996978,78.47790589998476,78.54457189992536,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,VYKXSPC,0,0,0,0,0,1,1,1,,,,,,,,,0,4,4,2,78.56120289990213,,,,,,,,,,,,,,,,,78.54482209996786,78.56120289990213,78.62800879997667,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,YGLMSFQ,0,0,0,0,0,1,1,1,,,,,,,,,0,5,5,1,78.6445195999695,,,,,,,,,,,,,,,,,78.62825379997957,78.6445195999695,78.7114088999806,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.71149689995218,78.71154199994635,None,0,78.71172739996109,78.72792479989585,79.7113208998926,79.7113208998926,79.72796930000186,81.71214429999236,81.71214429999236,81.71214429999236,82.71146339992993,82.69583489990328,None,0,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,ZTFYDXH,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,85.34930259990506,,,,,,,,,,,82.6961667999858,82.71146339992993,83.71155749994796,83.71155749994796,84.80387549998704,84.69535319996066,85.12851650000084,85.1449244999094,85.21242109988816,85.21247359993868,85.2283212998882,85.29528979992028,85.3409991998924,85.34930259990506,85.37865699990653,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,YGLMSFQ,0,0,0,0,0,2,2,2,,,,,0,1,1,1,,,,,85.3949358999962,,,,,,,,,,,,,,,,,,,,,,,85.37888659990858,85.3949358999962,85.46164329990279,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,YGLMSFQ,0,0,0,0,0,2,2,2,,,,,,,,,0,0,0,1,85.59989439998753,,,,,,,,,,,,,,,,,85.59120629995596,85.59989439998753,85.6284730999032,,,,,,,85.46173059998546,85.47821829991881,85.54497449996416,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,HQTYPJM,0,0,0,0,0,2,2,2,,,,,,,,,0,1,1,9,85.6449364,,,,,,,,,,,,,,,,,85.62870929995552,85.6449364,85.71168229996692,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,GQKRPDL,0,0,0,0,0,2,2,2,,,,,,,,,0,2,2,5,85.72824399999809,,,,,,,,,,,,,,,,,85.71191949991044,85.72824399999809,85.79543679999188,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,ZJTSHFP,0,0,0,0,0,2,2,2,,,,,,,,,0,3,3,3,85.81163209991064,,,,,,,,,,,,,,,,,85.79567799996585,85.81163209991064,85.87886319996323,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,ZTFYDXH,0,0,0,0,0,2,2,2,,,,,,,,,0,4,4,0,85.8950266999891,,,,,,,,,,,,,,,,,85.879106999957,85.8950266999891,85.9616802999517,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,HLFPYXK,0,0,0,0,0,2,2,2,,,,,,,,,0,5,5,4,85.97840509994421,,,,,,,,,,,,,,,,,85.96191709989216,85.97840509994421,86.04517699999269,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,WMYFTGJ,0,0,0,0,0,2,2,2,,,,,,,,,0,6,6,6,86.06171519996133,,,,,,,,,,,,,,,,,86.04543599998578,86.06171519996133,86.1285253999522,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,YNPLRQW,0,0,0,0,0,2,2,2,,,,,,,,,0,7,7,7,86.14499659999274,,,,,,,,,,,,,,,,,86.1287535999436,86.14499659999274,86.21177819999866,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,VFDMHQS,0,0,0,0,0,2,2,2,,,,,,,,,0,8,8,8,86.2282718999777,,,,,,,,,,,,,,,,,86.2120253999019,86.2282718999777,86.29518219991587,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
